,logFC,logCPM,F,PValue,FDR,CellType
DRD1_MSN_B,0.840215424027796,15.954127402573,44.9731182176411,1.86997663812857e-06,3.73995327625713e-05,DRD1_MSN_B
DRD1_MSN_D,2.53571837323646,13.7171830012027,34.9572762256409,1.06637764824004e-05,0.000106637764824004,DRD1_MSN_D
DRD1_MSN_C,1.66407712103032,14.710016967655,23.5312304776835,0.000109974823104175,0.000733165487361164,DRD1_MSN_C
Inh_E,0.730885019156385,12.4861955159259,13.389789256135,0.00163060045639989,0.00815300228199946,Inh_E
Inh_F,1.00399611039661,13.6890026098089,9.21237697808418,0.00678989010285501,0.02715956041142,Inh_F
Astrocyte_B,-1.3409402708322,13.6103893927271,7.41321251465476,0.0134814337726018,0.0449381125753392,Astrocyte_B
Inh_D,0.636051466149492,11.3488160434181,6.66550950986492,0.018226580913629,0.0465164286915187,Inh_D
Oligo,-0.756781228488164,17.4161943621466,6.61858578190846,0.0186065714766075,0.0465164286915187,Oligo
Microglia,0.47461596069085,15.4424896929486,2.64033079829916,0.120597534729114,0.267994521620254,Microglia
Inh_B,0.415848733418707,12.7441681966685,2.37630415716693,0.139622022729329,0.279244045458659,Inh_B
OPC,-0.492714909627957,15.1697431072818,1.79954698906999,0.195527676398988,0.355504866179979,OPC
Astrocyte_A,-0.342172740652152,16.3799169275711,0.961797599405899,0.339015339447201,0.545932140227624,Astrocyte_A
Ependymal,-0.818057257352018,13.2748291918689,0.899219642745502,0.354855891147956,0.545932140227624,Ependymal
DRD2_MSN_B,0.106574434326863,14.1230804770147,0.65380153205631,0.428573243645028,0.572527156333066,DRD2_MSN_B
Inh_A,0.0878783434624779,14.2442512189496,0.581244507812246,0.455005998336237,0.572527156333066,Inh_A
DRD2_MSN_A,0.0890509230222046,17.7211313448387,0.566820910251064,0.460574640289847,0.572527156333066,DRD2_MSN_A
Inh_C,-0.115875852362422,13.7891622433106,0.502961480152936,0.486648082883106,0.572527156333066,Inh_C
Excitatory,0.206205280239266,13.8853366983312,0.270635618854253,0.608893836310332,0.674583147539655,Excitatory
Endothelial,-0.124926339853512,13.1425789781974,0.224714724685494,0.640853990162672,0.674583147539655,Endothelial
DRD1_MSN_A,-0.0341735547902899,17.7410546288345,0.0641144151428094,0.802774250950365,0.802774250950365,DRD1_MSN_A
